    • 2  | I Ran (So Far Away)                     | Guitar Hero: 80s
    • 2  | No Suprize                              | Guitar Hero: A  
    • 2  | Uprising                                | Guitar Hero 6   
    • 2  | A-Punk                                  | Guitar Hero 5   
    • 2  | Sunshine Of Your Love                   | Guitar Hero 3   
    • 2  | Eye Of The Tiger                        | Guitar Hero: WT 
    • 2  | Intruder(Oh) Pretty Woman               | Guitar Hero: VH 
    • 2  | I'm Not Okay (I Promise)                | Guitar Hero 6   
    • 2  | Steady As She Goes                      | Guitar Hero 5   
    • 2  | Everlong                                | Guitar Hero: WT 
    • 2  | Hey You                                 | Guitar Hero 1   
    • 2  | She Bangs The Drums                     | Guitar Hero 3   
    • 2  | Rockin' in the Free World               | Guitar Hero 6   
    • 2  | Personality Crisis                      | Guitar Hero: A  
    • 2  | All the Pretty Faces                    | Guitar Hero 5   
    • 2  | Aggro                                   | Guitar Hero: WT 
    • 2  | Heat Of The Moment                      | Guitar Hero: 80s
    • 2  | Bohemian Rhapsody                       | Guitar Hero 6   
    • 2  | More Than A Feeling                     | Guitar Hero 1   
    • 2  | Kings And Queens                        | Guitar Hero: A  
    • 2  | Higher Ground                           | Guitar Hero 1   
    • 3  | The Memory Remains                      | Guitar Hero: M  
    • 3  | King Nothing                            | Guitar Hero: M  
    • 3  | The Boys Are Back In Town               | Guitar Hero: M  
    • 3  | Cherry Pie                              | Guitar Hero 2   
    • 3  | Message In A Bottle                     | Guitar Hero 2   
    • 3  | Take Me Out                             | Guitar Hero: SH 
    • 3  | The New Black                           | Guitar Hero 2   
    • 3  | Strutter                                | Guitar Hero 2   
    • 3  | Hit Me With Your Best Shot              | Guitar Hero: SH 
    • 3  | Elephant Bones                          | Guitar Hero 2   
    • 3  | Woman                                   | Guitar Hero: SH 
    • 3  | Trippin' On A Hole In A Paper Heart     | Guitar Hero 2   
    • 3  | Cathedral                               | Guitar Hero: VH 
    • 3  | School's Out                            | Guitar Hero 3   
    • 3  | Fame                                    | Guitar Hero 5   
    • 3  | The Wind Cries Mary                     | Guitar Hero: WT 
    • 3  | Self Esteem                             | Guitar Hero 6   
    • 3  | Collide                                 | Guitar Hero 2   
    • 3  | Monkey Wrench                           | Guitar Hero: SH 
    • 3  | Paint It Black                          | Guitar Hero 3   
    • 3  | L.A                                     | Guitar Hero 5   
    • 3  | Sick, Sick, Sick                        | Guitar Hero: VH 
    • 3  | Re-Education (Through Labor)            | Guitar Hero: WT 
    • 3  | Black Rain                              | Guitar Hero 6   
    • 3  | Hit Me With Your Best Shot              | Guitar Hero 3   
    • 3  | Incinerate                              | Guitar Hero 5   
    • 3  | Dammit (Growing Up)                     | Guitar Hero: WT 
    • 3  | Los Angeles                             | Guitar Hero: 80s
    • 3  | No Way Back                             | Guitar Hero 6   
    • 3  | Shout At The Devil                      | Guitar Hero: SH 
    • 3  | Pain                                    | Guitar Hero: VH 
    • 3  | Bullet With Butterfly Wings             | Guitar Hero 5   
    • 3  | Talk Talkin'                            | Guitar Hero: A  
    • 3  | Paranoid                                | Guitar Hero 3   
    • 3  | Stray Cat Blues                         | Guitar Hero 6   
    • 3  | Too Much, Too Young, Too Fast           | Guitar Hero: WT 
    • 3  | Take Me Out                             | Guitar Hero 1   
    • 3  | Smells Like Teen Spirit                 | Guitar Hero 5   
    • 3  | Cherry Pie                              | Guitar Hero: SH 
    • 3  | The Feel Good Drag                      | Guitar Hero 6   
    • 3  | Even Flow                               | Guitar Hero 3   
    • 3  | Shiver                                  | Guitar Hero: WT 
    • 3  | Atomic Punk                             | Guitar Hero: VH 
    • 3  | Kryptonite                              | Guitar Hero 5   
    • 3  | Graduate                                | Guitar Hero 6   
    • 3  | Rag Doll                                | Guitar Hero: A  
    • 3  | Bathroom Wall                           | Guitar Hero: 80s
    • 3  | Sharp Dressed Man                       | Guitar Hero 1   
    • 3  | Pretty Vacant                           | Guitar Hero: WT 
    • 3  | Minus Celsius                           | Guitar Hero 3   
    • 3  | Them Bones                              | Guitar Hero: SH 
    • 3  | Love Gun                                | Guitar Hero 6   
    • 3  | Make It Wit Chu                         | Guitar Hero 5   
    • 3  | One Armed Scissor                       | Guitar Hero: WT 
    • 3  | Space Truckin'                          | Guitar Hero: VH 
    • 3  | Barracuda                               | Guitar Hero 3   
    • 3  | 2112 Pt. 3 - Discovery                  | Guitar Hero 6   
    • 3  | Heart Full of Black                     | Guitar Hero 1   
    • 3  | In the Meantime                         | Guitar Hero 5   
    • 3  | I Hate Myself For Loving You            | Guitar Hero: A  
    • 3  | Good God                                | Guitar Hero: WT 
    • 3  | Take It Off                             | Guitar Hero: SH 
    • 3  | Money for Nothing                       | Guitar Hero 6   
    • 3  | 18 And Life                             | Guitar Hero: 80s
    • 3  | Bleed American                          | Guitar Hero 5   
    • 3  | Hier Kommt Alex                         | Guitar Hero 3   
    • 3  | The End Of Heartache                    | Guitar Hero: VH 
    • 3  | Weapon Of Choice                        | Guitar Hero: WT 
    • 3  | Pandora's Box                           | Guitar Hero: A  
    • 3  | Barracuda                               | Guitar Hero: SH 
    • 3  | Go Your Own Way                         | Guitar Hero: WT 
    • 3  | One Way Or Another                      | Guitar Hero: WT 
    • 3  | Thunderkiss '65                         | Guitar Hero: SH 
    • 3  | Movin' Out                              | Guitar Hero: A  
    • 3  | Livin' On A Prayer                      | Guitar Hero: WT 
    • 3  | Hollywood Nights                        | Guitar Hero: WT 
    • 3  | Livin' On The Edge                      | Guitar Hero: A  
    • 3  | Hard to Handle                          | Guitar Hero: A  
    • 3  | All Day And All Of The Night            | Guitar Hero: A  
    • 4  | Toxicity                                | Guitar Hero: M  
    • 4  | Demon Cleaner                           | Guitar Hero: M  
    • 4  | No Leaf Clover                          | Guitar Hero: M  
    • 4  | Enter Sandman                           | Guitar Hero: M  
    • 4  | Stone Cold Crazy                        | Guitar Hero: M  
    • 4  | Tuesday's Gone                          | Guitar Hero: M  
    • 4  | Shout at the Devil                      | Guitar Hero 2   
    • 4  | Last Child                              | Guitar Hero 2   
    • 4  | Girlfriend                              | Guitar Hero 2   
    • 4  | Who Was In My Room Last Night           | Guitar Hero 2   
    • 4  | Tattooed Love Boys                      | Guitar Hero 2   
    • 4  | Tonight I'm Gonna Rock You Tonight      | Guitar Hero 2   
    • 4  | Caveman Rejoice                         | Guitar Hero 1   
    • 4  | Bodies                                  | Guitar Hero 6   
    • 4  | Blue Day                                | Guitar Hero 5   
    • 4  | Avalancha                               | Guitar Hero 3   
    • 4  | The Outsider                            | Guitar Hero 6   
    • 4  | Jessica                                 | Guitar Hero 2   
    • 4  | Blue Orchid                             | Guitar Hero 5   
    • 4  | Unchained                               | Guitar Hero: VH 
    • 4  | Graveyard Shift                         | Guitar Hero 1   
    • 4  | Prayer Of The Refugee                   | Guitar Hero 3   
    • 4  | Feels Like the First Time               | Guitar Hero 6   
    • 4  | Police Truck                            | Guitar Hero: 80s
    • 4  | The Rock Show                           | Guitar Hero 5   
    • 4  | Less Talk More Rokk                     | Guitar Hero 2   
    • 4  | Children of the Grave                   | Guitar Hero 6   
    • 4  | Go That Far                             | Guitar Hero 3   
    • 4  | Rock And Roll Is Dead                   | Guitar Hero: VH 
    • 4  | Seven                                   | Guitar Hero 5   
    • 4  | Farewell Myth                           | Guitar Hero 1   
    • 4  | Wish                                    | Guitar Hero 6   
    • 4  | Woman                                   | Guitar Hero 2   
    • 4  | In Love                                 | Guitar Hero 3   
    • 4  | No One Knows                            | Guitar Hero: SH 
    • 4  | Send a Little Love Token                | Guitar Hero 5   
    • 4  | Aqualung                                | Guitar Hero 6   
    • 4  | Santeria                                | Guitar Hero: WT 
    • 4  | What I Like About You                   | Guitar Hero: 80s
    • 4  | I Want It All                           | Guitar Hero: VH 
    • 4  | Laid To Rest                            | Guitar Hero 2   
    • 4  | Cochise                                 | Guitar Hero 1   
    • 4  | Six Days a Week                         | Guitar Hero 5   
    • 4  | The Metal                               | Guitar Hero 3   
    • 4  | Jet City Woman                          | Guitar Hero 6   
    • 4  | Ramblin' Man                            | Guitar Hero: WT 
    • 4  | Freya                                   | Guitar Hero: SH 
    • 4  | What I Got                              | Guitar Hero 5   
    • 4  | Sharp Dressed Man (Live)                | Guitar Hero 6   
    • 4  | Madhouse                                | Guitar Hero 2   
    • 4  | La Grange                               | Guitar Hero 3   
    • 4  | The Kill                                | Guitar Hero: WT 
    • 4  | Infected                                | Guitar Hero 1   
    • 4  | Wannabe In L.A                          | Guitar Hero 5   
    • 4  | Dance, Dance                            | Guitar Hero 6   
    • 4  | Cities On Flame With Rock & Roll        | Guitar Hero 3   
    • 4  | Hold On Loosely                         | Guitar Hero: 80s
    • 4  | Raw Dog                                 | Guitar Hero 2   
    • 4  | Schism                                  | Guitar Hero: WT 
    • 4  | Trippin' On A Hole In A Paper Heart     | Guitar Hero: SH 
    • 4  | Iron Man                                | Guitar Hero 1   
    • 4  | Escuela De Calor                        | Guitar Hero: WT 
    • 4  | Mountain Song                           | Guitar Hero: WT 
    • 4  | The Breaking Wheel                      | Guitar Hero 1   
    • 4  | On The Road Again (Live)                | Guitar Hero: WT 
    • 4  | Cat Scratch Fever                       | Guitar Hero: A  
    • 4  | Toy Boy                                 | Guitar Hero: WT 
    • 4  | Smoke On The Water                      | Guitar Hero 1   
    • 4  | Our Truth                               | Guitar Hero: WT 
    • 4  | Mama Kin                                | Guitar Hero: A  
    • 4  | Ace Of Spades                           | Guitar Hero 1   
    • 4  | Parabola                                | Guitar Hero: WT 
    • 4  | Kick Out The Jams                       | Guitar Hero: WT 
    • 4  | Bright Light Fright                     | Guitar Hero: A  
    • 4  | Theme from Guitar Hero                  | Guitar Hero 1   
    • 4  | Are You Gonna Go My Way                 | Guitar Hero: WT 
    • 4  | Sweet Emotion                           | Guitar Hero: A  
    • 4  | King of Rock                            | Guitar Hero: A  
    • 4  | Always On The Run                       | Guitar Hero: A  
    • 5  | Fuel                                    | Guitar Hero: M  
    • 5  | Albatross                               | Guitar Hero: M  
    • 5  | Mommy's Little Monster (Live)           | Guitar Hero: M  
    • 5  | Blood And Thunder                       | Guitar Hero: M  
    • 5  | Best of You                             | Guitar Hero: VH 
    • 5  | Savior                                  | Guitar Hero 6   
    • 5  | Jailbreak                               | Guitar Hero 5   
    • 5  | So This Is Love                         | Guitar Hero: VH 
    • 5  | Helicopter                              | Guitar Hero 3   
    • 5  | Carry On Wayward Son                    | Guitar Hero 2   
    • 5  | Scumbag Blues                           | Guitar Hero 6   
    • 5  | Judith                                  | Guitar Hero 5   
    • 5  | Godzilla                                | Guitar Hero: SH 
    • 5  | 2112 Pt. 1 - Overture                   | Guitar Hero 6   
    • 5  | 3's & 7's                               | Guitar Hero 3   
    • 5  | Streamline Woman                        | Guitar Hero 5   
    • 5  | Killing In The Name                     | Guitar Hero 2   
    • 5  | The Takedown                            | Guitar Hero: VH 
    • 5  | Wrathchild                              | Guitar Hero: 80s
    • 5  | Ghost                                   | Guitar Hero 6   
    • 5  | Lonely is the Night                     | Guitar Hero 5   
    • 5  | Carry On Wayward Son                    | Guitar Hero: SH 
    • 5  | Kool Thing                              | Guitar Hero 3   
    • 5  | One For The Road                        | Guitar Hero 2   
    • 5  | Hard to See                             | Guitar Hero 6   
    • 5  | Du Hast                                 | Guitar Hero 5   
    • 5  | Master Exploder                         | Guitar Hero: VH 
    • 5  | Mauvais Garcon                          | Guitar Hero 3   
